Client ID,Project ID,Branch,Year,Rating (0-10),Client Feedback,Langauage,Focus of Engagement,Type of Client,Feedback Submission Date,1. Net promoter score,2. Professionalism,2. Understanding,2. Deliverables,2. Recommendations,4. Most Valuable,5. Improvements,6a. Recommendations implementation,6b. Recommendations reasons,7 Help aims,8. Overall experience,9. Public Disclosure,10. Public Feedback,11. Will repeat?
1501,2399,"University of California, Irvine",2020,0,c. Average (0-5),English,Marketing,Social Entrepreneurship (for-profit),7/28/2020 15:29,0,5,5,5,4,Getting an assessment of all possible and likely paths towards marketing. The different ideas presented provided a credible overall approach to successful marketing.,"Actual execution of the suggestions. That is what we are working on now, and one member from the UC Irvine team is actually helping now as a volunteer.",5,"Yes, at least some of the recommendations, even if not all. We are figuring out how to allocate resources to the different channels.",4,"Very positive, because our work in assessing all possible options got easier, so we have a clear path forward, even if we don't have all the resources necessary to execute all teh parts. I would say ""made it much easier"" if we got more insight on how to secure the necessary resources for the tasks ahead, but that part is up to us. No free lunch here.",yes,yes,yes
1501,2399,"University of California, Irvine",2020,0,c. Average (0-5),English,Marketing,Social Entrepreneurship (for-profit),7/28/2020 15:29,0,5,5,5,4,Getting an assessment of all possible and likely paths towards marketing. The different ideas presented provided a credible overall approach to successful marketing.,"Actual execution of the suggestions. That is what we are working on now, and one member from the UC Irvine team is actually helping now as a volunteer.",5,"Yes, at least some of the recommendations, even if not all. We are figuring out how to allocate resources to the different channels.",4,"Very positive, because our work in assessing all possible options got easier, so we have a clear path forward, even if we don't have all the resources necessary to execute all teh parts. I would say ""made it much easier"" if we got more insight on how to secure the necessary resources for the tasks ahead, but that part is up to us. No free lunch here.",yes,yes,yes
51,465,Australian National University,,0,c. Average (0-5),,,,,,,,,,,,,,,,,,
2158,1047,Helsinki,2018,1,c. Average (0-5),English,Fundraising,Women,1/11/2018 1:02,1,2,2,2,2,A list of e-mails (of which many where incorrect or faulty or from a companies that would be very unlikely to donate to us). ,If there was more concentration on the task and correcting the work according to the feedback. ,2,"There was nothing new and even though the team didn't answer my questions of the number of respondes from survey, I think it didn't fill the scientific requirements where one could actually benefit out of it.  ",1,"You clearly have a good structure how project should be implemented, but the working on the project was clearly lacking consentration. I ended up using a lot time without receiving any new results expect a list of e-mails (of which many where incorrect or faulty or where to organizations that weren't likely to donate to us). ",no,anon,no
1407,312,George Mason University,2016,2,c. Average (0-5),,,,7/8/2016 8:21,2,2,1,1,1,,,0,,2,"I want to make sure all of this feedback is not directed towards Gabriel Torres. He did a fantastic job communicating with our organization and letting us know what the issues were with his group. Gabriel has also continued to assist our organization even after his semester and consulting project ended. 

Besides the excellent work of Gabriel, I unfortunately cannot recommend anyone at N Street Village using 180 Degrees Consulting again -- The group did come into DC for a tour of our organization, but there wasn't any work after. 

Unfortunately, the group did not contribute anything nor did they help us with a pre-existing project. 

As I mentioned, this has no reflection on Gabriel and he has done an excellent job helping us in his free time to make up for the absence of the larger group. ",no,yes,no
263,2074,Hamburg,2020,2,c. Average (0-5),English,Market Analysis,Environment,5/12/2020 8:11,2,3,1,2,3,The Questionaires,Real answers / an actual survey of the relevant tarket companies and the end-customers. We were quite surprised to learn in the final presentation that the results and the recommendations were solely based on internet research and not on out of real interviews with the existing questionnaires and the results from such survey. ,2,Because the of the above explained circumstances,2,The communication in the beginning was very good and fruitful though throughout the project we somehow didn't really manage to get our needs and those of the students on the same page,yes,anon,no
26,1895,Munich,2019,3,c. Average (0-5),German,Operations,Education,2/23/2020 11:55,3,3,2,3,3,"Recommendation of shifting away from a 1:1 child sponsorship, that was indeed very helpful and well facilitated by the team.
","I expected more ownership from the project team. Until the end it felt like we had to jointly conceptualize most of the tasks. As we were very busy with other topics in parallel to the 180 project, I would have required a project team which independently drives the topic.",4,"We are going to implement them, however, I expect to required quite some effort before they are ready-to-use",4,"I'd say that if you have a task which is very specifically defined and needs executation , then I might recommend 180. If you need conceptual power, I would not.
",yes,anon,yes
1209,2090,"University of California, LA",2020,3,c. Average (0-5),English,Strategy,Education,1/8/2020 12:36,3,1,3,3,2,Useful figures and data for our communications and an external view on our strategic statement ,Regular communication between us and the consulting team would have made this project much more valuable. There was no intermediary discussion before the final deliverable and no questions asked. ,3,Some of the recommandations made sense for our strategic statement but most of them were irrelevant or already known by our team.,2,Lack of professionalism and communication with our team. Could have been much more useful if the consulting team had asked questions and had tried to understand better our work and our vision. ,yes,yes,no
1648,517,"University of California, LA",2016,3,c. Average (0-5),,,,8/1/2016 11:50,3,3,1,2,2,,If the deliverables had been provided on time. ,1,Delivered too late. ,2,Poor. ,yes,yes,no
246,797,Indian School of Business,,3,c. Average (0-5),,,,4/6/2017 7:01,3,1,2,2,1,,More involvement and seriousness from the team.,1,The solution address hardly 10% of the problem statement shared and the solution is also not aligned. ,2,"Team started well and were highly motivated initially. But midway they lost track. Communication was very weak. Updates were beyond timeline. Also there was a huge void in the middle post which the precious time lost couldn't be recovered. 
In the 12th hour there were frantic efforts to firefight which couldn't address the issue at hand. ",yes,yes,yes
1911,350,University of Canterbury,2016,3,c. Average (0-5),,,,6/4/2016 1:33,3,1,2,1,1,,Consultation as problem solution applicability is constrained by project context. Lack of communication led to deliverables that were not relevant. ,3,I don't but milestone deliverables from internal 180 processes should be put in place so that team leaders' progress is able to be reviewed properly. ,2,No communication from project definition to draft report submission. More consultation needed. ,no,anon,no
250,1936,Texas A&M University,2018,3,c. Average (0-5),English,IT,Children/Youth,10/28/2019 16:54,3,2,3,2,2,,My primary need was for website development - there was no assistance given in this task.  Another need was for targeted recruitment of male mentors.  What I received was an exel file of some local churches and graduate student organizations.  There seemed to be little thought put into this project. ,0,I did do an email and a mailing to all contacts provided (not using the letter written by the group)  There was no response from anyone contacted. ,2,Disappointing,no,anon,no
81,894,Texas A&M University,2017,3,c. Average (0-5),English,Fundraising,Animal Welfare,6/23/2017 16:02,10,5,5,5,5,Final recommendations,Encompassing two semesters,5,Their analysis resulted in some sound recommendations,5,Great!,no,anon,yes
1139,435,Vienna University of Economics and Business,2016,4,c. Average (0-5),English,Partnerships,Education,7/12/2016 12:47,4,4,1,3,2,,,2,,2,,no,anon,yes
2300,260,London School of Economics,2016,4,c. Average (0-5),,,,4/13/2016 9:06,4,3,3,3,3,The SROI model was  interesting and relevant to our work,Unfortunately I was not able to use the outputs from this assignment and it was difficult to have the team understand the target audience for marketing material and building a case to support fundraising in Angola.,1,The report unfortunately will not be relevant for the target audience here. However the bare bones SROI model could be adapted for future analysis.,2,"180 Degrees is a great concept and I have tried twice to leverage the skills, passion and brain power of the consultants to help with our work here in Angola. However unfortunately the results have not been what I have required and in both assignments I have not been able to use the final deliverables. ",yes,anon,no
544,2465,Tufts University,2020,4,c. Average (0-5),English,Competitor Analysis,Accomodation/Shelter,7/26/2020 6:33,4,5,4,4,4,outside perspective,nothing coms to mind,3,priorities have changed due to covid,4,great,no,no,yes
2268,496,University of New South Wales,2016,4,c. Average (0-5),,,,11/7/2016 22:14,4,4,2,4,2,It gave me a space to reflect more on what I need.,I would have preferred a more collaborative approach. I felt that the final recommendations were a little off the mark and this could have been avoided if there was more contact along the way.,3,"One recommendation regarding the website will be implemented (although this was already a feature of the previous website). The research around donations being an unlikely source of income was very useful. The recommendation regarding the training room is food for thought and certainly something to consider in the future but given that our lease is ending next year, it is unlikely to be actioned. The detailed costings could be used in the future as a basis to do some forecasting so could be of benefit although not immediately.",2,"I appreciated the enthusiasm and professionalism of the students. With the wisdom of hindsight I wish I had been more directive once the initial scope was re-negotiated. I am currently doing the analysis of the financial data that I provided at the beginning of the project, just to assess trends over the last 3 years. I take responsibility for not being more prescriptive about the need to undertake this work.",yes,yes,no
1823,420,"University of California, Berkeley",2016,4,c. Average (0-5),,,,5/31/2016 13:50,4,2,2,3,2,Benefitting young progressive minded Berkeley students,Following the scope of work instructions.,3,The few we can implement we will.  Most of too generic.,2,"I had to interact with too many people.  Ideally, the scope of the work that I discussed in early meetings with the first team were memorialized and transferred to the other individuals.  That way a lot of getting lost in translation would not have occurred. ",yes,anon,yes
577,1011,Goethe University of Frankfurt,2018,4,c. Average (0-5),German,Impact Measurement,Women,5/16/2018 4:29,4,2,2,2,2,"Wir haben jetzt eine Grundlage, die wir weiter ausbauen kÃ¶nnen.","Kommunikation und Mitdenken, bzw. Engagement, dass nicht mit dem reinen Thema endet - wir haben das Team mehrfach auch zu unseren Events eingeladen, damit sie besser sehen und verstehen, was wir tun, wie wir arbeiten, etc - leider war dafÃ¼r nie Zeit. So konnten auch keine GesprÃ¤che entstehen, die vielleicht alle ein StÃ¼ck weiter gebracht hÃ¤tten.",4,"Wie gesagt, es ist ein erster Ansatz, wir kÃ¶nnen damit arbeiten. ",1,"Leider etwas mÃ¼hselig und wenig kreativ, Ergebnis fÃ¼r versprochene 40h/Woche recht dÃ¼rftig und etwas lieblos.",yes,anon,yes
153,851,Stockholm School of Economics,2017,4,c. Average (0-5),English,Events,Community Support,6/8/2017 9:59,4,4,3,2,3,"The diversity of the group. That we got to set of internal time for planning, reflections. ",That the students had more time to spend on digging deeper into the research. Felt like it was a quick-fix sometimes. ,3,"We haven't decided that yet, hopefully parts of it. In general the deliverables did not meet your expectations as it was less comprehensive than we had from the beginning almost, unfortunately.",4,"Lovely people, professional approach in external comms etc!",no,anon,yes
1355,751,University of New South Wales,2017,4,c. Average (0-5),English,Competitor Analysis,Accomodation/Shelter,7/18/2017 0:46,4,3,4,3,2,The Final Recommendation,"Better communication with the team leader,  professionalism and reliability. A larger amount of work completed throughout the project.",4,"It is the best option, through their recommendations.",2,We had a much better experience last semester than this one. ,yes,no,yes
2290,102,University of Canterbury,2015,4,c. Average (0-5),,,,11/1/2015 17:07,4,3,4,1,2,"I have learned that what we asked for (Social Return On Investment figures) are actually outside of the scope of what the team could deliver, and that SROI figures can incorporate a wide number of factors.","Knowing what I know now regarding SROI figures I wonder if the project should have been taken on at all.....??  Comments on what did happen:
It would have been good if the team had come back way earlier with their 'findings', and not on the day of the presentation.  The figures that were presented were not researched (and in a meeting we already told them that the base figure that they incorrectly used for everything was not representative of the sector or our situation). The template that was going to be made for the 'translation' of information that we would gather over a longer period of time was not produced.",0,"As it stands the work done can't be used.  The team leader is working on remedying the situation, and we have done part of the research together.  Because doing a SROI study is actually a huge project I don't think that the work that is now being done will safe the project.",2,"The process seemed clear and easy, the team consisted of very kind people.  I am so sorry that my feedback about the project is what it is, because I am impressed with the team members as people, and their willingness to contribute.  I wonder if the fact that one of the members naturally took on the role of leader made it harder for some members to feel engaged in the project (pure speculation from my side!).  
I am sorry to have to say that it was a real surprise to receive a report that was, in the part that really counts, so under-researched and incorrect.  And surprised that this wasn't picked up by the person overviewing the team.",yes,yes,yes
952,1313,University of Tokyo,,5,c. Average (0-5),Japanese,Human Resources,Children/Youth,7/27/2018 19:41,5,2,2,3,2,,,2,,2,,no,yes,no
474,1551,Columbia University,2018,5,c. Average (0-5),English,Strategy,Education,2/21/2019 15:12,5,3,3,3,3,,"There was very little communication between me and the team - I was told by the project lead that we would have the opportunity to have in-person meetings but that was never the case, and even though I had asked for weekly updates, we did not receive it.",2,,0,,no,no,no
1185,1310,University of Tokyo,,5,c. Average (0-5),Japanese,Human Resources,Education,7/30/2018 19:08,5,3,4,3,3,,,4,,4,,yes,anon,yes
288,1634,University of Sydney,2019,5,c. Average (0-5),English,Marketing,Education,6/19/2019 6:16,5,4,3,4,2,,"A more realistic understanding of what was possible in the time frame.
Client feedback earlier in the process. By the time I got the first report back, it was largely too late to correct the misunderstandings.
",3,The project did not get completed as scoped at the briefing.,2,,yes,anon,no
344,266,University of Cambridge,2016,5,c. Average (0-5),,,,7/14/2016 3:47,5,3,3,3,3,"The report on the structure of Cambridge Sustainable Food, with recommendations for a revised structure.","Better communication with the whole team. I enjoyed meeting them all and was expecting more involvement from them, In fact, while the team leader delivered his part of the project (the structure), I only received one other thing from the team (some rather limited suggestions for fundraising. Much of what was discussed at that initial meeting didn't actually happen. I'm not sure how well the team functioned as a team - from my point of view it didn't seem to, but I obviously was only an observer, so more may have been going on which I didn't know about.",4,The suggestions for structural changes were realistic and helpful ,4,A mixture of helpful and frustrating.,yes,yes,no
2107,477,Mexico City,2016,5,c. Average (0-5),,,,7/16/2016 14:16,5,2,2,3,3,"para mi lo mas importante es la implementacion de la consultoria pues ahi se ven los resultados, aun no he llegado a esa etapa.

",la implementacion,2,,4,Es una  buena empresa  que te permite tener  una guia de como van las cosas,no,no,yes
2046,79,London School of Economics,2015,5,c. Average (0-5),,,,9/8/2015 5:10,5,5,5,5,3,The people were lovely but the information has not produced any successful leads for funding for The Hope Centre.,To know what to do with the information provided.,2,Not sure what is recommended,2,Great bunch of people!,yes,yes,yes
995,1006,Munich,2018,5,c. Average (0-5),German,IT,Community Support,2/15/2018 5:13,5,4,3,3,2,"Die einzelnen Antworten der Member im Zuge der Umfrage, die die Studenten durchfÃ¼hrten, sind hilfreich und relevant. ","Da der Hub keine klassischen Strukturen aufweist, war es nicht so leicht unser VerstÃ¤ndnis von Community/Zusammenarbeit/Wirtschaften zu vermitteln. Deswegen waren viele Empfehlungen, die die Studenten herausgearbeitet haben, kaum relevant, weil sie eher fÃ¼r klassische Unternehmenstrukturen passen. Es hÃ¤tte von den Studenten und von unserer Seite viel mehr Zeit und Invest gebraucht um das gleiche VerstÃ¤ndnis zu haben. ",2,siehe oben,2,"Interessant, herausfordernd. ",no,no,yes
988,1476,Lulea University of Technology,2018,5,c. Average (0-5),English,Marketing,Environment,6/5/2019 2:09,5,4,2,3,3,Att fÃ¥ input frÃ¥n externa personer som inte kÃ¤nner till allt som hÃ¤nder i organisationen,"Om vi som organisation skulle ha varit mer ""stabila"". Nu hamnade mycket mellan stolarna dÃ¥ folk kom och gick och organisationen hade utmaningar under tiden. Vilket resulterade i att konsulterna blev lidande. De gjorde ett kanonjobb som inte togs tillvara pÃ¥ till 100 %.",3,,2,Mycket bra! Bra och engagerade konsulter med professionellt bemÃ¶tande och utfÃ¶rande. ,yes,no,yes
1391,1032,Sofia,2018,5,c. Average (0-5),Bulgarian,Finance,Community Support,2/9/2018 8:57,5,5,4,4,3,The market research on the base of which we made the pricing model.,"In order to become more valuable the project should include more practical work like more meetings with client, visiting other co-working spaces and conducting research on place. ",3,We  used the market research as well as some of the cases from the financial model. At the same time we won't implement the whole financial model as it is not 100% close to the real market.   ,4,"We are happy with the teams' attitude, professionalism and readiness to help us in our work.",yes,yes,yes
2066,1229,Sofia,2018,5,c. Average (0-5),English,Marketing,Community Support,7/12/2018 4:57,5,3,4,3,4,"The strategy offered ideas for targeting potential, unexplored Red House audiences that the team would have never come up with on its own. ","Offering ideas for ways of targeting both audiences and potential partners for renting our spaces/organizing events. Offering ideas for ways of targeting the audiences The Red House team had correctly identified as important audiences to work with (high school students, students). Editing the final report for typos, language and content would have made it look more professional and would have helped avoid unnnecessary repetitions Ð°nd the impression that the report was written fast and last-minute. There was some information in the report that was assumed or outright untrue (insufficiently researched) (i.e., Theatre Azaryan, DaDa Bar and Dom na kinoto were mentioned as spaces whose events are free (or the column about the prices said ""no""); it was assumed that the 30% discount for NGOs that rent our spaces is often overlooked by them, but there has been no input from NGO partners on that (we have done no formal or informal surveys). ",4,There were ideas for targeting audiences the Red House has never worked with or identified as potential audiences. It is worth exploring this opportunity.,4,"We received good ideas. Some important research has been done on our behalf, which we were having difficulty to do on our own, but some of the information included in the final report looks superficially researched or simply assumed, which makes the team look unprofessional. There were also incidents when the same information had to be provided by us more than once, although it had been delivered both in writing and during team meetings.",yes,yes,yes
521,1683,"City, University of London",,6,b. Good (6-8),English,IT,Community Support,10/23/2019 6:13,6,5,4,4,4,,,4,,4,,no,no,no
1027,335,BITS Pilani,2016,6,b. Good (6-8),,,,12/21/2016 0:50,6,3,4,4,2,Phase-2 tasks - contact details of the required personnel,harder deadlines,4,,4,,yes,no,no
786,2520,Tufts University,2020,6,b. Good (6-8),English,Strategy,Health,7/26/2020 6:59,6,5,4,3,2,research,more interviews,3,looking for further recommendations for where they should concentrate their sales based on legislation,4,good,yes,yes,yes
2200,2523,Tufts University,,6,b. Good (6-8),English,Market Analysis,Technology,7/26/2020 7:53,6,4,4,4,4,"The results by the 180 team.  It took a while to get the results that we needed, but the team stayed focused and worked diligently.  ","It was unclear to me how the 180 delegated tasks among the team.  To do rigorous focused detailed work, most of the time, it requires one or a few persons that are not distracted.  Larger teams can be hard to manage and counter productive or inefficient.  I suspect the latter was the case for the 180 team with VECARIUS, so it took longer and more inefficient to get the results.  Nevertheless, we go some useful results.  ",4,"The results are based upon marketing research the team did, and after some cross-checking the data looks accurate and promising enough.  ",0,good,yes,yes,yes
675,1664,Hansraj College,2019,6,b. Good (6-8),English,Market Analysis,Environment,5/25/2019 8:27,6,3,3,4,3,Collecting insights from target audience,"Respecting the timeliness, better communication, quality of deliverable to avoid double work later",3,Survey is the backbone of the overall project but we had to work extensively in cleaning the data.,4,Good but students need a bit of skill development. ,yes,yes,yes
2299,77,London School of Economics,2015,6,b. Good (6-8),,,,8/17/2015 4:27,6,4,3,3,3,Having a different perspective on the local issues and linking it to economic theories & models,"It was difficult to get a solid understanding of the local context / sensitivities and the overall tone of the document without a country visit. The team did a great job with the information they had, however the final deliverables would have been a lot stronger with a site visit.",2,Unfortunately the final report isn't strong enough to support our project.,2,"Good. The team were enthusiastic, engaged and interested in the concepts / issues we are dealign with in Angola. ",yes,yes,yes
580,1264,BITS Goa,2018,6,b. Good (6-8),English,Impact Measurement,Health,5/28/2018 1:44,6,3,4,4,3,They brought in a new perspective to a problem that we have been thinking about in a very specific way. ,"We would have appreciated if the team had tapped into the organization's experience in social impact, since this was a very specific problem statement
",3,,4,"Overall, it was a good experience. We appreciated the patience shown by the team, and their flexibility in working through a complex problem. ",no,anon,yes
693,229,Munich,2016,6,b. Good (6-8),,,,5/17/2016 7:45,6,5,3,3,3,Ideen fÃ¼r Sponsoren,"Tieferes VerstÃ¤ndnis fÃ¼r unsere genaue Problemlage, weniger allgemeine Empfehlungen, die fÃ¼r uns nicht zutreffend sind.",3,"Die, die fÃ¼r uns passen werde ich versuchen umzusetzen.",4,"Sehr freundlich und professionelles Auftreten, Handling und PrÃ¤sentation, aber inhaltlich etwas oberflÃ¤chlich.",yes,yes,yes
1224,876,Copenhagen,2017,6,b. Good (6-8),English,Impact Measurement,Social Entrepreneurship (for-profit),6/14/2017 7:57,6,3,4,3,3,Research and statistics,"If the result was more thorough - if the students had more time (coherent time) to work on the project. 
If it was a course and not a spare time activity. ",1,The result was not very useful.  ,2,"The students were very sweet and enthusiastic, but none of the students had past experiences they could draw upon and there was not enough time available for them to learn it. ",no,no,no
1474,615,University of Melbourne,2017,6,b. Good (6-8),,,,12/1/2016 20:32,6,3,2,4,3,Social media strategy and student base engagement,Better and updated research into the club's progress,3,Some recommendations are impractical for the club,4,"useful in some areas, however somewhat lacking in others",yes,anon,yes
1775,745,Turin,2017,6,b. Good (6-8),,,,6/28/2017 8:12,6,4,4,4,3,migliorare l'organizzazione e la gestione del magazzino dei nostri prodotti promozionali,maggior facilita' di utilizzo dell'applicazione realizzata,3,tenendo conto della situazione contingente della nostra attivita' si e' realizzato un buon progetto,4,esperienza positiva per l'incontro con la realta' universitaria e la grande disponibilita' dimostrata dal team,yes,yes,yes
2205,1746,Monash University,2019,6,b. Good (6-8),English,Expansion,Women,6/8/2019 19:20,6,2,4,5,4,"The final meeting was most useful, to hear the way consultants had personally engaged with the brand and the product. ",More communication â€” giving the client a clear timeline and expectations. ,4,,4,"The team were a great team, all with a unique view and willingness to share. However, the lack of contact with the whole team was challenging. There were numerous instances when they would spring a time to meet on me, just hours before. I was unable to meet this. There was little communication before they went out to execute tasks and much of their work I could have halved with prior market research we had already done. This led to many missed opportunities and wasted work, which is disappointing for all parties. Better communication and leadership on the teams behalf could have solved this. ",yes,yes,yes
140,702,Indiana University,2017,6,b. Good (6-8),,,,5/3/2017 15:01,6,4,4,4,4,Communication from team leader (Pat) was excellent and about half the team had good thoughts about ways to move us forward.  I would have liked more time to discuss ideas and push on to deeper insights.,"This is not our first consulting experience with undergraduate students, and when I compare the overall value of the result with what I've had from other consulting teams, notably the strategic communications majors from Butler University, the project outcomes from 180DC are much less impressive, which is a shame because there are some great ideas presented, but overall it just doesn't pack a punch, doesn't excite and doesn't reflect the genuine interest that I know was present from some of the team members.  I've tried to determine if i scoped the project properly and provided enough direction for the team but again, the Butler teams didn't even meet with us in creating their reports and five years later, i still occasionally refer back to them -they are that good.  The lack of an academic advisor or support to the 180DC team might account for some of the difference.  The lack of credits associated with the 180DC project might also be a factor, but our last BU group produced (in the same time period) about 30,000 words with strongly reasoned suggestions for ideas that were in many cases quite creative or at least supported by research.  By contrast this report was thin and at least one section of the report left me with the impression that one member of the team had done little if any real thinking about the issue.  I've avoided letting that section draw down the overall scores out of respect for the team members who did engage in deeper thought and generated useful ideas.   Overall though I would describe the report as being an executive summary that should have been covering a more detailed report containing the research and references from the team's work.",5,"There some really good ideas in the report that we do intend to implement: donor days are a great idea and some of the ideas around volunteer retention, particularly the 'qualifications' or  earned titles concept are very good and I believe could aid retention.",4,"A mixed bag, if I could have worked for more time with about half the team I think we could have achieved better focus and got a more substantial report.  What has been provided will not impress my board members but since most of the work will be done at the staff level that shouldn't matter but it would be difficult for me to recommend the 180DC experience unreservedly at this point.",yes,no,yes
,140,University of Minnesota,,6,b. Good (6-8),,,,5/25/2016 18:03,6,3,4,4,5,This project was valuable because we at Nice Ride need student insight on bike sharing. The UMN student consultants helped us gain a better understanding of student needs.,This project dragged on a bit. It would have been nice to get a response earlier in the year to open these new stations in 2016 rather than 2017.,4,We are already moving forward with 2 of the 5 locations that the consultants recommended. The other 3 are under consideration. Depends on cost.,4,"It was great working with the students they provided great final presentation. However, they took some time to get to the resolution and most times I did not know what was happening on their end.",yes,no,no
1674,2489,Hamburg,2020,6,b. Good (6-8),English,Strategy,Social Entrepreneurship (for-profit),10/13/2020 2:43,6,5,3,4,2,"helping eachother: we could provide students a project to work on for one semester, we were provided by an analysis",#NAME?,3,"why not? small sample size, not representative

why? good recommendation was to first explain RENN
",2,"professional kind consultants
responsible 
good presentations
little impact of analysis results",yes,no,no
1659,2025,Berlin,2020,6,b. Good (6-8),English,Impact Measurement,Accomodation/Shelter,8/31/2020 15:08,6,3,4,3,3,the idea itself it was very aligned with our values,more commitment and smoother communication,3,"with some adjustment, it could be definitely helpful for our mission",4,"the first phase was encouraging and fruitful. Unfortunately, we are a bit disappointed for the presentation ( that was missing ) and for the team disappearing in the most delicate moment",yes,yes,yes
1605,1057,The Hong Kong University of Science and Technology,2020,6,b. Good (6-8),English,Operations,Social Entrepreneurship (for-profit),1/3/2018 23:27,6,4,2,4,4,New perspectives on our biz model from a 3rd-party,#NAME?,3,"Unclear. Our business strategy has changed since we started this project with 180DC. While many of the recommendations are still relevant, we are not offering the same products that we once planned to.",4,Very professional and competent group of people. Confident they'll go on to do great things. Great initiative to set up and maintain this organisation!,no,no,no
1468,101,University of Canterbury,2015,6,b. Good (6-8),,,,10/18/2015 15:10,6,5,3,4,2,"1. Piloting the engagement of 180 Degrees Consulting for this type of assignment.
2. Confirmation of certain parameters and identification of at least one new one.
3. Gathering of pertinent background information.
4. Having the opportunity to input into the education of future young professionals. ","1. Reduction in the scope.  For the time available the scope of the brief was too great.
2. Ensuring that the opportunity being investigated was fully understood.  The project lost time due to a misunderstanding about the target customers for the service being offered.  On reviewing the brief, it is accepted that the addition of ""managed service providers"" would have provided clearer written direction, although this was stated verbally during the initial brief.
3. As mentioned at the final presentation the report needed a financial model to back-up the recommendations,  It is understood that the omission of this was a combination of time and a feeling that the team did not have the data.  The resolution of this was something that we would have expected that the 180 Degree consulting executive would have dealt with, ",3,Without the financial model and the data from potential customers it is not possible for this opportunity to be properly assessed.   ,2,"All aspects of our engagement with 180 Degrees Consulting has been highly professional.  Meetings have been well organised, the teams punctual, enthusiastic, and reports/presentations to a good standard.

Having seen the presentations of the other opportunities it would appear that the one for Nvader was of significantly greater in terms of its scope, and skills required.  We suggest that for the team to have delivered a more valuable results they would have needed a more experienced internal guidance.

Our recommendation is that if 180 Degree Consulting wishes to consider briefs of the scope of this one they consider getting an external business mentor, perhaps teaming up with the NZ Mentors organisation.",yes,yes,yes
1977,238,National Taiwan University,2016,7,b. Good (6-8),,,,3/7/2016 18:00,7,4,4,4,4,,,3,,4,,yes,anon,yes
